Benchmark,OneNodePath,Joined VertexDisjointPaths,Split VertexDisjointPaths
Measurement,OneNodePath,Joined VertexDisjointPaths,Split VertexDisjointPaths
Threads,61,9,15
Number of nodes,61,61,61
Minimum path length,1,1,1
Maximum path length,1,32,7
Average path length,1,6.777777777777778,4.066666666666666
Maximum parallelized threads,12,4,4
Paths after VertexDisjointCover,,14,14
Deadlocks after VertexDisjointCover,,3,3
